CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Gender_Encoded,Cluster,Segment
112,Male,59,38,30,0,0,Budget Customers
113,Female,43,78,69,1,4,Average Customers
114,Female,52,113,5,1,2,Careful Spenders
115,Female,67,63,74,1,4,Average Customers
116,Female,42,113,52,1,1,Premium Customers
117,Female,41,126,73,1,1,Premium Customers
118,Male,30,50,20,0,3,Budget Customers
119,Female,24,96,77,1,1,Premium Customers
120,Female,53,127,32,1,2,Careful Spenders
121,Female,62,117,11,1,2,Careful Spenders
122,Female,37,110,80,1,1,Premium Customers
123,Male,18,38,26,0,3,Budget Customers
124,Male,25,37,25,0,3,Budget Customers
125,Male,63,76,22,0,2,Careful Spenders
126,Male,33,110,86,0,1,Premium Customers
127,Female,31,51,68,1,3,Budget Customers
128,Female,29,26,13,1,3,Budget Customers
129,Male,68,127,33,0,2,Careful Spenders
130,Female,40,69,53,1,4,Average Customers
131,Male,32,27,41,0,3,Budget Customers
132,Male,45,37,35,0,0,Budget Customers
133,Male,51,103,1,0,2,Careful Spenders
134,Male,19,113,80,0,1,Premium Customers
135,Female,49,119,6,1,2,Careful Spenders
136,Male,40,44,47,0,3,Budget Customers
137,Female,39,31,17,1,3,Budget Customers
138,Female,68,127,5,1,2,Careful Spenders
139,Male,42,76,50,0,4,Average Customers
140,Female,39,98,64,1,1,Premium Customers
141,Female,39,126,97,1,1,Premium Customers
142,Male,66,103,3,0,2,Careful Spenders
143,Female,69,100,23,1,2,Careful Spenders
144,Male,59,27,37,0,0,Budget Customers
145,Male,23,73,72,0,1,Premium Customers
146,Male,32,33,37,0,3,Budget Customers
147,Female,60,63,29,1,4,Average Customers
148,Female,54,114,10,1,2,Careful Spenders
149,Male,50,26,19,0,0,Budget Customers
150,Male,25,75,36,0,3,Budget Customers
151,Female,61,119,21,1,2,Careful Spenders
152,Male,61,33,14,0,0,Budget Customers
153,Male,22,90,68,0,1,Premium Customers
154,Female,56,23,1,1,0,Budget Customers
155,Female,21,85,72,1,1,Premium Customers
156,Male,23,42,23,0,3,Budget Customers
157,Female,62,92,1,1,2,Careful Spenders
158,Female,49,109,32,1,2,Careful Spenders
159,Male,69,66,53,0,4,Average Customers
160,Female,47,97,28,1,2,Careful Spenders
161,Male,64,136,31,0,2,Careful Spenders
162,Female,52,125,8,1,2,Careful Spenders
163,Female,57,30,39,1,0,Budget Customers
164,Female,69,131,26,1,2,Careful Spenders
165,Male,33,83,93,0,1,Premium Customers
166,Female,30,113,62,1,1,Premium Customers
167,Male,67,26,12,0,0,Budget Customers
168,Male,59,39,1,0,0,Budget Customers
169,Male,47,66,73,0,4,Average Customers
170,Female,36,137,64,1,1,Premium Customers
171,Female,34,99,89,1,1,Premium Customers
172,Male,36,114,89,0,1,Premium Customers
173,Female,45,67,36,1,4,Average Customers
174,Male,43,37,23,0,0,Budget Customers
175,Female,54,30,15,1,0,Budget Customers
176,Male,43,71,56,0,4,Average Customers
177,Female,40,53,40,1,3,Budget Customers
178,Male,26,123,73,0,1,Premium Customers
179,Female,29,67,21,1,3,Budget Customers
180,Male,18,56,30,0,3,Budget Customers
181,Male,18,72,70,0,1,Premium Customers
182,Male,64,53,58,0,4,Average Customers
183,Female,51,28,38,1,0,Budget Customers
184,Female,49,109,34,1,2,Careful Spenders
185,Male,65,136,38,0,2,Careful Spenders
186,Female,42,19,34,1,3,Budget Customers
187,Female,57,49,37,1,4,Average Customers
188,Female,62,101,30,1,2,Careful Spenders
189,Female,18,107,74,1,1,Premium Customers
190,Male,33,121,86,0,1,Premium Customers
191,Male,56,89,34,0,2,Careful Spenders
192,Female,22,32,38,1,3,Budget Customers
193,Female,39,125,92,1,1,Premium Customers
194,Female,46,90,24,1,2,Careful Spenders
195,Male,20,23,15,0,3,Budget Customers
196,Male,29,88,89,0,1,Premium Customers
197,Female,43,72,74,1,4,Average Customers
198,Female,33,122,76,1,1,Premium Customers
199,Female,68,31,5,1,0,Budget Customers
200,Female,54,139,29,1,2,Careful Spenders
